age,workclass,marital_status,occupation,race,sex,native_country,income
20,*,Married-civ-spouse,*,White,Male,United-States,0
20,*,Married-civ-spouse,*,White,Male,United-States,0
20,*,Married-civ-spouse,*,White,Male,United-States,0
20,*,Married-civ-spouse,*,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Non-Government,Married-civ-spouse,Technical,White,Male,United-States,0
15-19,Private,Married-civ-spouse,Other,White,Male,North America,0
15-19,Private,Married-civ-spouse,Other,White,Male,North America,0
15-19,Private,Married-civ-spouse,Other,White,Male,North America,0
15-19,Private,Married-civ-spouse,Other,White,Male,North America,0
15-19,Private,Married-civ-spouse,Other,White,Male,North America,0
20,Private,Married-civ-spouse,Sales,White,Male,United-States,0
20,Private,Married-civ-spouse,Sales,White,Male,United-States,0
20,Private,Married-civ-spouse,Sales,White,Male,United-States,0
20,Private,Married-civ-spouse,Sales,White,Male,United-States,0
15-19,Private,Married-civ-spouse,Handlers-cleaners,White,Male,North America,0
15-19,Private,Married-civ-spouse,Handlers-cleaners,White,Male,North America,0
15-19,Private,Married-civ-spouse,Handlers-cleaners,White,Male,North America,0
15-19,Private,Married-civ-spouse,Handlers-cleaners,White,Male,North America,0
15-19,Private,Married-civ-spouse,Handlers-cleaners,White,Male,North America,0
15-19,Private,Married-civ-spouse,Handlers-cleaners,White,Male,North America,0
