Age,Race,Prior,two_year_recid,Sex
0.576923076923077,Other,0.0,No recid.,Male
0.20512820512820515,African-American,0.0,Did recid.,Male
0.07692307692307696,African-American,0.10526315789473684,Did recid.,Male
0.06410256410256412,African-American,0.02631578947368421,No recid.,Male
0.28205128205128205,Other,0.05263157894736842,No recid.,Male
0.29487179487179493,Other,0.0,No recid.,Male
0.2564102564102564,Other,0.3684210526315789,Did recid.,Male
0.28205128205128205,Other,0.07894736842105263,No recid.,Male
0.24358974358974358,Other,0.0,No recid.,Female
0.038461538461538464,Other,0.02631578947368421,Did recid.,Male
0.10256410256410256,Other,0.0,No recid.,Male
0.06410256410256412,African-American,0.07894736842105263,Did recid.,Male
0.21794871794871792,Other,0.0,No recid.,Female
0.29487179487179493,African-American,0.0,No recid.,Male
0.33333333333333337,Other,0.02631578947368421,Did recid.,Female
0.16666666666666666,African-American,0.15789473684210525,Did recid.,Male
0.21794871794871792,Other,0.0,No recid.,Male
0.08974358974358973,African-American,0.07894736842105263,No recid.,Male
0.15384615384615383,Other,0.15789473684210525,Did recid.,Male
0.15384615384615383,Other,0.13157894736842105,Did recid.,Male
0.5897435897435898,African-American,0.3157894736842105,Did recid.,Male
0.038461538461538464,African-American,0.02631578947368421,Did recid.,Male
0.10256410256410256,Other,0.0,Did recid.,Male
0.038461538461538464,Other,0.0,No recid.,Female
0.06410256410256412,Other,0.02631578947368421,Did recid.,Male
0.28205128205128205,Other,0.02631578947368421,No recid.,Male
0.15384615384615383,Other,0.0,No recid.,Male
0.11538461538461539,African-American,0.18421052631578946,Did recid.,Male
0.20512820512820515,Other,0.07894736842105263,No recid.,Female
0.10256410256410256,African-American,0.13157894736842105,Did recid.,Male
0.19230769230769232,African-American,0.0,Did recid.,Male
0.14102564102564105,Other,0.23684210526315788,Did recid.,Male
0.1794871794871795,African-American,0.10526315789473684,Did recid.,Male
0.42307692307692313,Other,0.0,No recid.,Male
0.35897435897435903,Other,0.18421052631578946,Did recid.,Male
0.08974358974358973,Other,0.15789473684210525,No recid.,Male
0.16666666666666666,Other,0.10526315789473684,Did recid.,Female
0.06410256410256412,Other,0.02631578947368421,Did recid.,Male
0.20512820512820515,African-American,0.5,Did recid.,Male
0.12820512820512822,Other,0.0,No recid.,Male
0.038461538461538464,African-American,0.05263157894736842,No recid.,Female
0.42307692307692313,African-American,0.05263157894736842,No recid.,Male
0.12820512820512822,Other,0.05263157894736842,Did recid.,Male
0.42307692307692313,African-American,0.15789473684210525,No recid.,Female
0.14102564102564105,African-American,0.0,Did recid.,Male
0.07692307692307696,Other,0.23684210526315788,Did recid.,Male
0.21794871794871792,African-American,0.3157894736842105,Did recid.,Male
0.35897435897435903,Other,0.0,No recid.,Male
0.20512820512820515,African-American,0.10526315789473684,Did recid.,Male
0.14102564102564105,African-American,0.0,No recid.,Male
0.12820512820512822,Other,0.02631578947368421,Did recid.,Male
0.11538461538461539,Other,0.0,No recid.,Female
0.34615384615384615,Other,0.5263157894736842,Did recid.,Male
0.5128205128205129,Other,0.02631578947368421,No recid.,Female
0.16666666666666666,African-American,0.3684210526315789,No recid.,Male
0.07692307692307696,African-American,0.05263157894736842,Did recid.,Male
0.14102564102564105,Other,0.0,No recid.,Male
0.39743589743589747,African-American,0.10526315789473684,No recid.,Male
0.39743589743589747,Other,0.21052631578947367,No recid.,Male
0.21794871794871792,African-American,0.13157894736842105,No recid.,Male
0.576923076923077,African-American,0.23684210526315788,Did recid.,Male
0.11538461538461539,African-American,0.3684210526315789,Did recid.,Male
0.23076923076923075,Other,0.10526315789473684,Did recid.,Male
0.051282051282051294,African-American,0.02631578947368421,Did recid.,Male
0.051282051282051294,African-American,0.05263157894736842,Did recid.,Male
0.14102564102564105,African-American,0.10526315789473684,Did recid.,Male
0.5,Other,0.0,No recid.,Male
0.11538461538461539,African-American,0.13157894736842105,Did recid.,Male
0.16666666666666666,Other,0.0,No recid.,Male
0.4871794871794872,African-American,0.0,No recid.,Female
0.3076923076923077,Other,0.15789473684210525,Did recid.,Male
0.051282051282051294,Other,0.02631578947368421,No recid.,Male
0.2692307692307693,African-American,0.02631578947368421,No recid.,Male
0.14102564102564105,African-American,0.13157894736842105,Did recid.,Male
0.10256410256410256,Other,0.02631578947368421,Did recid.,Male
0.28205128205128205,African-American,0.05263157894736842,No recid.,Male
0.051282051282051294,African-American,0.02631578947368421,Did recid.,Male
0.051282051282051294,Other,0.0,No recid.,Male
0.10256410256410256,African-American,0.02631578947368421,Did recid.,Female
0.10256410256410256,Other,0.02631578947368421,Did recid.,Male
0.1794871794871795,African-American,0.0,No recid.,Male
0.29487179487179493,African-American,0.02631578947368421,No recid.,Male
0.15384615384615383,African-American,0.18421052631578946,Did recid.,Male
0.35897435897435903,Other,0.0,Did recid.,Male
0.08974358974358973,African-American,0.3421052631578947,Did recid.,Male
0.025641025641025633,Other,0.0,Did recid.,Male
0.051282051282051294,African-American,0.05263157894736842,Did recid.,Male
0.06410256410256412,African-American,0.05263157894736842,Did recid.,Male
0.21794871794871792,African-American,0.02631578947368421,No recid.,Female
0.23076923076923075,African-American,0.21052631578947367,Did recid.,Male
0.08974358974358973,Other,0.18421052631578946,Did recid.,Male
0.038461538461538464,Other,0.02631578947368421,Did recid.,Male
0.07692307692307696,Other,0.23684210526315788,Did recid.,Male
0.6794871794871795,African-American,0.2894736842105263,No recid.,Male
0.025641025641025633,Other,0.0,No recid.,Female
0.24358974358974358,Other,0.05263157894736842,Did recid.,Male
0.5512820512820513,Other,0.07894736842105263,No recid.,Male
0.41025641025641024,Other,0.0,No recid.,Female
0.29487179487179493,Other,0.0,No recid.,Female
0.01282051282051283,African-American,0.02631578947368421,Did recid.,Male
0.07692307692307696,African-American,0.02631578947368421,No recid.,Male
0.15384615384615383,African-American,0.02631578947368421,No recid.,Male
0.24358974358974358,Other,0.0,Did recid.,Female
0.06410256410256412,Other,0.21052631578947367,Did recid.,Male
0.14102564102564105,Other,0.0,No recid.,Male
0.15384615384615383,Other,0.0,No recid.,Male
0.24358974358974358,Other,0.02631578947368421,No recid.,Female
0.5256410256410257,African-American,0.3421052631578947,Did recid.,Male
0.28205128205128205,Other,0.02631578947368421,No recid.,Male
0.038461538461538464,African-American,0.07894736842105263,Did recid.,Male
0.23076923076923075,Other,0.13157894736842105,Did recid.,Male
0.1794871794871795,Other,0.0,No recid.,Male
0.19230769230769232,African-American,0.13157894736842105,Did recid.,Male
0.24358974358974358,African-American,0.07894736842105263,No recid.,Male
0.2692307692307693,Other,0.02631578947368421,Did recid.,Male
0.29487179487179493,African-American,0.23684210526315788,Did recid.,Male
0.051282051282051294,African-American,0.0,Did recid.,Male
0.19230769230769232,African-American,0.6842105263157894,Did recid.,Male
0.16666666666666666,African-American,0.02631578947368421,No recid.,Male
0.14102564102564105,Other,0.02631578947368421,No recid.,Female
0.15384615384615383,Other,0.3421052631578947,Did recid.,Male
0.11538461538461539,African-American,0.07894736842105263,Did recid.,Male
0.4871794871794872,African-American,0.18421052631578946,No recid.,Male
0.3846153846153847,Other,0.07894736842105263,No recid.,Male
0.19230769230769232,African-American,0.4473684210526315,Did recid.,Male
0.5256410256410257,Other,0.05263157894736842,No recid.,Female
0.051282051282051294,Other,0.10526315789473684,Did recid.,Male
0.2692307692307693,Other,0.15789473684210525,No recid.,Male
0.07692307692307696,Other,0.05263157894736842,No recid.,Female
0.14102564102564105,Other,0.02631578947368421,No recid.,Male
0.11538461538461539,Other,0.05263157894736842,No recid.,Male
0.21794871794871792,Other,0.05263157894736842,No recid.,Female
0.11538461538461539,Other,0.0,Did recid.,Male
0.07692307692307696,African-American,0.0,No recid.,Female
0.12820512820512822,Other,0.2631578947368421,Did recid.,Female
0.29487179487179493,Other,0.05263157894736842,Did recid.,Male
0.14102564102564105,Other,0.10526315789473684,Did recid.,Female
0.1794871794871795,African-American,0.07894736842105263,Did recid.,Male
0.15384615384615383,Other,0.05263157894736842,Did recid.,Male
0.16666666666666666,African-American,0.02631578947368421,No recid.,Male
0.46153846153846156,Other,0.02631578947368421,Did recid.,Male
0.3076923076923077,Other,0.10526315789473684,No recid.,Female
0.025641025641025633,African-American,0.02631578947368421,No recid.,Female
0.28205128205128205,Other,0.0,No recid.,Female
0.2564102564102564,African-American,0.21052631578947367,Did recid.,Male
0.1794871794871795,African-American,0.2631578947368421,Did recid.,Male
0.19230769230769232,African-American,0.18421052631578946,Did recid.,Male
0.16666666666666666,African-American,0.0,Did recid.,Female
0.19230769230769232,African-American,0.15789473684210525,Did recid.,Female
0.11538461538461539,African-American,0.05263157894736842,Did recid.,Male
0.025641025641025633,African-American,0.0,No recid.,Female
0.08974358974358973,Other,0.0,No recid.,Female
0.5512820512820513,African-American,0.02631578947368421,Did recid.,Female
0.3846153846153847,Other,0.3421052631578947,Did recid.,Male
0.5128205128205129,Other,0.02631578947368421,No recid.,Male
0.1794871794871795,African-American,0.10526315789473684,Did recid.,Female
0.12820512820512822,Other,0.02631578947368421,No recid.,Male
0.3205128205128205,Other,0.02631578947368421,No recid.,Female
0.10256410256410256,African-American,0.05263157894736842,Did recid.,Female
0.47435897435897434,African-American,0.07894736842105263,No recid.,Male
0.24358974358974358,Other,0.02631578947368421,No recid.,Male
0.14102564102564105,Other,0.07894736842105263,Did recid.,Female
0.15384615384615383,African-American,0.02631578947368421,No recid.,Male
0.34615384615384615,Other,0.05263157894736842,No recid.,Male
0.051282051282051294,African-American,0.02631578947368421,No recid.,Male
0.3205128205128205,Other,0.15789473684210525,Did recid.,Male
0.35897435897435903,Other,0.15789473684210525,No recid.,Female
0.15384615384615383,Other,0.0,No recid.,Male
0.08974358974358973,African-American,0.02631578947368421,Did recid.,Male
0.051282051282051294,Other,0.0,No recid.,Male
0.1794871794871795,African-American,0.13157894736842105,No recid.,Female
0.3846153846153847,Other,0.05263157894736842,No recid.,Male
0.5641025641025641,African-American,0.18421052631578946,No recid.,Male
0.21794871794871792,Other,0.15789473684210525,No recid.,Female
0.42307692307692313,Other,0.02631578947368421,No recid.,Male
0.15384615384615383,Other,0.21052631578947367,Did recid.,Male
0.12820512820512822,African-American,0.13157894736842105,Did recid.,Male
0.41025641025641024,Other,0.05263157894736842,No recid.,Male
0.4487179487179488,Other,0.0,No recid.,Male
0.6666666666666666,Other,0.02631578947368421,Did recid.,Male
